protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-14069_922T8_lib221223_5627_NODE_113_length_60810_cov_14.0577_6	metaspades_NG-14069_922T8_lib221223_5627_NODE_113_length_60810_cov_14.0577	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_113_length_60810_cov_14.0577_97	metaspades_NG-14069_922T8_lib221223_5627_NODE_113_length_60810_cov_14.0577	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_11076_length_4749_cov_3.29421_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_11076_length_4749_cov_3.29421	K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	PF02557.17	D-alanyl-D-alanine carboxypeptidase
metaspades_NG-14069_919T8_lib221220_5627_NODE_6953_length_7174_cov_4.30987_1	metaspades_NG-14069_919T8_lib221220_5627_NODE_6953_length_7174_cov_4.30987	K09458	"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"	PF00109.26	"Beta-ketoacyl synthase, N-terminal domain"
metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522_3	metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522	K00763	"pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]"	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522	K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	PF01467.26	Cytidylyltransferase-like
metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522_6	metaspades_NG-14069_923T8_lib221224_5627_NODE_6088_length_5664_cov_27.7522	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-14069_923T8_lib221224_5627_NODE_1021_length_19896_cov_7.34807_1	metaspades_NG-14069_923T8_lib221224_5627_NODE_1021_length_19896_cov_7.34807	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058_15	metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058_16	metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058_17	metaspades_NG-13040_922T5L_lib194716_5429_NODE_17_length_10491_cov_4.11058	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_923T3L_lib194737_5429_NODE_19_length_43674_cov_20.5062_9	metaspades_NG-13040_923T3L_lib194737_5429_NODE_19_length_43674_cov_20.5062	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-15813_VGD_lib254046_5916_NODE_524_length_3445_cov_2.62212_4	metaspades_NG-15813_VGD_lib254046_5916_NODE_524_length_3445_cov_2.62212	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"	PF00464.19	Serine hydroxymethyltransferase
metaspades_NG-14069_922T8_lib221223_5627_NODE_6047_length_5031_cov_5.11777_8	metaspades_NG-14069_922T8_lib221223_5627_NODE_6047_length_5031_cov_5.11777	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"	PF02347.16	Glycine cleavage system P-protein
metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111_50	metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"	PF00464.19	Serine hydroxymethyltransferase
metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111_79	metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111_118	metaspades_NG-14069_921T8_lib221222_5627_NODE_25_length_101636_cov_14.6111	K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	PF00899.21	ThiF family
metaspades_NG-14069_918T8_lib221219_5627_NODE_874_length_13706_cov_8.75291_13	metaspades_NG-14069_918T8_lib221219_5627_NODE_874_length_13706_cov_8.75291	K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	PF02784.16	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
metaspades_NG-13376_922T8_lib202070_5478_NODE_197_length_14833_cov_8.62654_14	metaspades_NG-13376_922T8_lib202070_5478_NODE_197_length_14833_cov_8.62654	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_3437_length_14126_cov_15.9151_16	metaspades_NG-14069_919T8_lib221220_5627_NODE_3437_length_14126_cov_15.9151	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14253_917T10_lib223965_5684_NODE_8_length_36490_cov_8.91667_2	metaspades_NG-14253_917T10_lib223965_5684_NODE_8_length_36490_cov_8.91667	K01953	"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"	PF00733.21	Asparagine synthase
metaspades_NG-14069_922T8_lib221223_5627_NODE_5808_length_5175_cov_3.73086_2	metaspades_NG-14069_922T8_lib221223_5627_NODE_5808_length_5175_cov_3.73086	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"	PF00958.22	GMP synthase C terminal domain
metaspades_NG-13040_923T2L_lib194718_5429_NODE_325_length_9537_cov_3.62308_8	metaspades_NG-13040_923T2L_lib194718_5429_NODE_325_length_9537_cov_3.62308	K01243	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"		
metaspades_NG-14069_925T8_lib221226_5627_NODE_2552_length_11918_cov_4.86294_22	metaspades_NG-14069_925T8_lib221226_5627_NODE_2552_length_11918_cov_4.86294	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13376_921T3_lib202033_5478_NODE_357_length_4964_cov_5.1978_6	metaspades_NG-13376_921T3_lib202033_5478_NODE_357_length_4964_cov_5.1978	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_2036_length_10984_cov_5.51487_6	metaspades_NG-14069_GD_lib221227_5627_NODE_2036_length_10984_cov_5.51487	K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"	PF03721.14	"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
metaspades_NG-14069_GD_lib221227_5627_NODE_2036_length_10984_cov_5.51487_7	metaspades_NG-14069_GD_lib221227_5627_NODE_2036_length_10984_cov_5.51487	K00971	"manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	PF00483.23	Nucleotidyl transferase
metaspades_NG-14069_921T8_lib221222_5627_NODE_97_length_42528_cov_22.4896_41	metaspades_NG-14069_921T8_lib221222_5627_NODE_97_length_42528_cov_22.4896	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_921T8_lib221222_5627_NODE_97_length_42528_cov_22.4896_42	metaspades_NG-14069_921T8_lib221222_5627_NODE_97_length_42528_cov_22.4896	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_1532_length_18308_cov_8.63409_10	metaspades_NG-14069_925T8_lib221226_5627_NODE_1532_length_18308_cov_8.63409	K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	PF00899.21	ThiF family
metaspades_NG-15813_920T5L_lib254043_5916_NODE_834_length_8974_cov_5.75704_4	metaspades_NG-15813_920T5L_lib254043_5916_NODE_834_length_8974_cov_5.75704	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	PF12708.7	Pectate lyase superfamily protein
metaspades_NG-14069_922T8_lib221223_5627_NODE_5252_length_5505_cov_5.46606_9	metaspades_NG-14069_922T8_lib221223_5627_NODE_5252_length_5505_cov_5.46606	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_10630_length_4914_cov_4.49249_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_10630_length_4914_cov_4.49249	K13010	"per, rfbE; perosamine synthetase [EC:2.6.1.102]"	PF01041.17	DegT/DnrJ/EryC1/StrS aminotransferase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_10630_length_4914_cov_4.49249_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_10630_length_4914_cov_4.49249	K13307	"tylMI; dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.235]"	PF13649.6	Methyltransferase domain
metaspades_NG-13040_917T1L_lib194752_5429_NODE_17_length_40964_cov_15.2587_36	metaspades_NG-13040_917T1L_lib194752_5429_NODE_17_length_40964_cov_15.2587	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_2120_length_9956_cov_6.17968_9	metaspades_NG-14069_922T8_lib221223_5627_NODE_2120_length_9956_cov_6.17968	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_GD_lib221227_5627_NODE_4731_length_5852_cov_4.98137_6	metaspades_NG-14069_GD_lib221227_5627_NODE_4731_length_5852_cov_4.98137	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-15813_917T12L_lib254036_5916_NODE_111_length_3025_cov_2.87003_4	metaspades_NG-15813_917T12L_lib254036_5916_NODE_111_length_3025_cov_2.87003	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"	PF00231.19	ATP synthase
metaspades_NG-14069_925T8_lib221226_5627_NODE_3529_length_9406_cov_10.5133_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_3529_length_9406_cov_10.5133	K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	PF13489.6	Methyltransferase domain
metaspades_NG-14069_916T8_lib219930_5627_NODE_7562_length_3074_cov_3.88837_3	metaspades_NG-14069_916T8_lib219930_5627_NODE_7562_length_3074_cov_3.88837	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_3589_length_9296_cov_6.6667_10	metaspades_NG-14069_925T8_lib221226_5627_NODE_3589_length_9296_cov_6.6667	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF01380.22	SIS domain
metaspades_NG-13376_922T10_lib202054_5478_NODE_260_length_3538_cov_4.04536_1	metaspades_NG-13376_922T10_lib202054_5478_NODE_260_length_3538_cov_4.04536	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_919T8_lib221220_5627_NODE_9746_length_5311_cov_3.98858_6	metaspades_NG-14069_919T8_lib221220_5627_NODE_9746_length_5311_cov_3.98858	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF00438.20	"S-adenosylmethionine synthetase, N-terminal domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_9746_length_5311_cov_3.98858_8	metaspades_NG-14069_919T8_lib221220_5627_NODE_9746_length_5311_cov_3.98858	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_921T8_lib221222_5627_NODE_290_length_20272_cov_16.148_6	metaspades_NG-14069_921T8_lib221222_5627_NODE_290_length_20272_cov_16.148	K22227	ahbD; heme synthase		
metaspades_NG-14069_919T8_lib221220_5627_NODE_15073_length_3646_cov_3.44667_1	metaspades_NG-14069_919T8_lib221220_5627_NODE_15073_length_3646_cov_3.44667	K02636	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]	PF00355.26	Rieske [2Fe-2S] domain
metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455_3	metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455_4	metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455_5	metaspades_NG-14069_920T8_lib221221_5627_NODE_4490_length_4244_cov_4.455	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_4685_length_3915_cov_5.15959_3	metaspades_NG-14069_917T8_lib221218_5627_NODE_4685_length_3915_cov_5.15959	K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]	PF01121.20	Dephospho-CoA kinase
metaspades_NG-14069_925T8_lib221226_5627_NODE_814_length_32519_cov_30.1943_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_814_length_32519_cov_30.1943	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_925T7L_lib194733_5429_NODE_468_length_7209_cov_4.74364_7	metaspades_NG-13040_925T7L_lib194733_5429_NODE_468_length_7209_cov_4.74364	K19005	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]	PF00884.23	Sulfatase
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_100	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"	PF00266.19	Aminotransferase class-V
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_211	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K00952	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]		
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_240	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K22227	ahbD; heme synthase		
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_245	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K01916	nadE; NAD+ synthase [EC:6.3.1.5]	PF02540.17	NAD synthase
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_247	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238_249	metaspades_NG-13376_922T2_lib202088_5478_NODE_2_length_192754_cov_26.5238	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	PF00857.20	Isochorismatase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_17963_length_3136_cov_2.77085_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_17963_length_3136_cov_2.77085	K02437	"gcvH, GCSH; glycine cleavage system H protein"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_17963_length_3136_cov_2.77085_4	metaspades_NG-14069_919T8_lib221220_5627_NODE_17963_length_3136_cov_2.77085	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	PF13394.6	4Fe-4S single cluster domain
metaspades_NG-13040_916T1L_lib194711_5429_NODE_1_length_161662_cov_72.4362_108	metaspades_NG-13040_916T1L_lib194711_5429_NODE_1_length_161662_cov_72.4362	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"	PF00709.21	Adenylosuccinate synthetase
metaspades_NG-14069_925T8_lib221226_5627_NODE_13814_length_3421_cov_3.64706_1	metaspades_NG-14069_925T8_lib221226_5627_NODE_13814_length_3421_cov_3.64706	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_918T8_lib221219_5627_NODE_3411_length_4304_cov_4.23229_1	metaspades_NG-14069_918T8_lib221219_5627_NODE_3411_length_4304_cov_4.23229	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	PF04095.16	Nicotinate phosphoribosyltransferase (NAPRTase) family
metaspades_NG-13376_924T9_lib202098_5478_NODE_3_length_97431_cov_11.3772_85	metaspades_NG-13376_924T9_lib202098_5478_NODE_3_length_97431_cov_11.3772	K21029	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	PF00899.21	ThiF family
metaspades_NG-14069_923T8_lib221224_5627_NODE_1904_length_12603_cov_10.9504_1	metaspades_NG-14069_923T8_lib221224_5627_NODE_1904_length_12603_cov_10.9504	K01195	"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"	PF02836.17	"Glycosyl hydrolases family 2, TIM barrel domain"
metaspades_NG-14069_917T8_lib221218_5627_NODE_1292_length_11712_cov_10.8454_9	metaspades_NG-14069_917T8_lib221218_5627_NODE_1292_length_11712_cov_10.8454	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_919T2L_lib194749_5429_NODE_692_length_4677_cov_36.1562_2	metaspades_NG-13040_919T2L_lib194749_5429_NODE_692_length_4677_cov_36.1562	K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	PF00781.24	Diacylglycerol kinase catalytic domain
metaspades_NG-13040_918T4L_lib194744_5429_NODE_25_length_12888_cov_7.92044_2	metaspades_NG-13040_918T4L_lib194744_5429_NODE_25_length_12888_cov_7.92044	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]		
metaspades_NG-13040_918T4L_lib194744_5429_NODE_25_length_12888_cov_7.92044_3	metaspades_NG-13040_918T4L_lib194744_5429_NODE_25_length_12888_cov_7.92044	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_2371_length_6918_cov_7.31677_1	metaspades_NG-14069_917T8_lib221218_5627_NODE_2371_length_6918_cov_7.31677	K03183	"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	PF08241.12	Methyltransferase domain
metaspades_NG-13040_916T4L_lib194746_5429_NODE_3138_length_4410_cov_2.85511_2	metaspades_NG-13040_916T4L_lib194746_5429_NODE_3138_length_4410_cov_2.85511	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_5943_length_6386_cov_19.1725_1	metaspades_NG-14069_925T8_lib221226_5627_NODE_5943_length_6386_cov_19.1725	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]		
metaspades_NG-13376_922T2_lib202088_5478_NODE_730_length_3594_cov_2.41904_3	metaspades_NG-13376_922T2_lib202088_5478_NODE_730_length_3594_cov_2.41904	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13376_922T2_lib202088_5478_NODE_730_length_3594_cov_2.41904_4	metaspades_NG-13376_922T2_lib202088_5478_NODE_730_length_3594_cov_2.41904	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022_13	metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022	K01495	"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"	PF01227.22	GTP cyclohydrolase I
metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022_14	metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	PF04055.21	Radical SAM superfamily
metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022_15	metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022	K01737	"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"	PF01242.19	6-pyruvoyl tetrahydropterin synthase
metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022_16	metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	PF06508.13	Queuosine biosynthesis protein QueC
metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022_39	metaspades_NG-13040_922T7L_lib194742_5429_NODE_8_length_60326_cov_434.022	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-13040_916T5L_lib194717_5429_NODE_11_length_56192_cov_76.2129_8	metaspades_NG-13040_916T5L_lib194717_5429_NODE_11_length_56192_cov_76.2129	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-13040_917T3L_lib194709_5429_NODE_59_length_19096_cov_4.52508_12	metaspades_NG-13040_917T3L_lib194709_5429_NODE_59_length_19096_cov_4.52508	K00299	ssuE; FMN reductase [EC:1.5.1.38]	PF03358.15	NADPH-dependent FMN reductase
metaspades_NG-13040_916T2L_lib194712_5429_NODE_16_length_54251_cov_55.1674_54	metaspades_NG-13040_916T2L_lib194712_5429_NODE_16_length_54251_cov_55.1674	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF00753.27	Metallo-beta-lactamase superfamily
metaspades_NG-13040_919T1L_lib194741_5429_NODE_363_length_8094_cov_7.82137_1	metaspades_NG-13040_919T1L_lib194741_5429_NODE_363_length_8094_cov_7.82137	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]		
metaspades_NG-14069_923T8_lib221224_5627_NODE_284_length_47442_cov_33.9534_30	metaspades_NG-14069_923T8_lib221224_5627_NODE_284_length_47442_cov_33.9534	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_916T8_lib219930_5627_NODE_7672_length_3041_cov_3.84561_3	metaspades_NG-14069_916T8_lib219930_5627_NODE_7672_length_3041_cov_3.84561	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF13561.6	Enoyl-(Acyl carrier protein) reductase
metaspades_NG-13376_921T12-Genomiphi-ON_lib202097_5478_NODE_62_length_5775_cov_3.48899_11	metaspades_NG-13376_921T12-Genomiphi-ON_lib202097_5478_NODE_62_length_5775_cov_3.48899	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-13040_920T4L_lib194722_5429_NODE_17_length_38307_cov_262.787_10	metaspades_NG-13040_920T4L_lib194722_5429_NODE_17_length_38307_cov_262.787	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_920T4L_lib194722_5429_NODE_17_length_38307_cov_262.787_45	metaspades_NG-13040_920T4L_lib194722_5429_NODE_17_length_38307_cov_262.787	K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	PF00132.24	Bacterial transferase hexapeptide (six repeats)
metaspades_NG-14069_920T8_lib221221_5627_NODE_4857_length_4017_cov_7.30591_1	metaspades_NG-14069_920T8_lib221221_5627_NODE_4857_length_4017_cov_7.30591	K00973	"E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"	PF00483.23	Nucleotidyl transferase
metaspades_NG-14069_919T8_lib221220_5627_NODE_4011_length_12227_cov_3.94726_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_4011_length_12227_cov_3.94726	K02224	"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	PF07685.14	CobB/CobQ-like glutamine amidotransferase domain
metaspades_NG-14069_922T8_lib221223_5627_NODE_11946_length_3138_cov_3.06649_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_11946_length_3138_cov_3.06649	K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]	PF13419.6	Haloacid dehalogenase-like hydrolase
