Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-FEC-JUL25-F3-k141_23410,56.73,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,93.50,iPHoP-RF;95.40
VIVO4-FEC-JUL25-F3-k141_23410,56.73,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,92.60,blast;94.70 iPHoP-RF;88.20
VIVO4-FEC-JUL25-F3-k141_23410,56.73,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,92.20,iPHoP-RF;94.40
VIVO4-FEC-JUL25-F3-k141_23826,33.61,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA945,91.50,blast;93.80
VIVO4-FEC-JUL25-F3-k141_24028,13.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP,90.00,blast;92.50 iPHoP-RF;83.10
VIVO4-FEC-JUL25-F3-k141_24223,3.19,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,93.50,blast;95.40 iPHoP-RF;66.50
VIVO4-FEC-JUL25-F3-k141_24346,99.94,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,96.90,CRISPR;97.80 blast;96.50 iPHoP-RF;96.10
VIVO4-FEC-JUL25-F3-k141_24346,99.94,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E,92.70,blast;94.80
VIVO4-FEC-JUL25-F3-k141_24995,25.86,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,95.90,iPHoP-RF;97.10 blast;96.10
VIVO4-FEC-JUL25-F3-k141_25088,18.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP,93.10,blast;95.10 iPHoP-RF;89.80
VIVO4-FEC-JUL25-F3-k141_25173,13.41,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,96.00,blast;97.20 iPHoP-RF;84.50 CRISPR;58.30
VIVO4-FEC-JUL25-F3-k141_25865,23.39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,92.00,blast;94.20 iPHoP-RF;82.80 CRISPR;82.20
VIVO4-FEC-JUL25-F3-k141_25980,36.60,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,98.40,blast;96.40 RaFAH;83.90 iPHoP-RF;75.70
VIVO4-FEC-JUL25-F3-k141_26023,73.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,94.90,iPHoP-RF;96.40 blast;92.30
VIVO4-FEC-JUL25-F3-k141_26023,73.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,94.60,iPHoP-RF;95.70 RaFAH;55.70
VIVO4-FEC-JUL25-F3-k141_26023,73.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__OM05-12,90.30,iPHoP-RF;92.80
VIVO4-FEC-JUL25-F3-k141_26047,59.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.20,CRISPR;95.90 iPHoP-RF;81.40
VIVO4-FEC-JUL25-F3-k141_26061,8.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,97.00,blast;97.90 iPHoP-RF;90.50 CRISPR;68.70
VIVO4-FEC-JUL25-F3-k141_26333,64.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.10,blast;93.50 iPHoP-RF;88.50 CRISPR;70.30
VIVO4-FEC-JUL25-F3-k141_27646,14.24,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.40,blast;92.90 iPHoP-RF;80.80
VIVO4-FEC-JUL25-F3-k141_27851,99.92,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,97.80,blast;93.50 CRISPR;88.20 RaFAH;87.90 iPHoP-RF;78.30
VIVO4-FEC-JUL25-F3-k141_2790,99.96,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.50 iPHoP-RF;96.40 blast;96.30
VIVO4-FEC-JUL25-F3-k141_2805,10.15,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,95.00,blast;96.50 iPHoP-RF;69.30
VIVO4-FEC-JUL25-F3-k141_28228,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;95.50 blast;93.90 iPHoP-RF;87.90
VIVO4-FEC-JUL25-F3-k141_28463,2.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,91.70,blast;94.00 iPHoP-RF;75.70
VIVO4-FEC-JUL25-F3-k141_28806,35.81,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,93.40,blast;94.50 iPHoP-RF;61.10 RaFAH;56.90
VIVO4-FEC-JUL25-F3-k141_28806,35.81,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A,91.10,blast;93.50 CRISPR;78.80 iPHoP-RF;69.30
VIVO4-FEC-JUL25-F3-k141_28806,35.81,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia,90.90,blast;93.30
VIVO4-FEC-JUL25-F3-k141_29432,2.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.00,blast;93.40
VIVO4-FEC-JUL25-F3-k141_29661,98.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,90.90,blast;93.30
VIVO4-FEC-JUL25-F3-k141_29661,98.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,90.10,RaFAH;92.60
VIVO4-FEC-JUL25-F3-k141_31496,4.06,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,93.80,blast;95.60 iPHoP-RF;73.20
VIVO4-FEC-JUL25-F3-k141_31629,63.97,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,94.90,iPHoP-RF;96.40
VIVO4-FEC-JUL25-F3-k141_31629,63.97,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,94.70,blast;96.30 iPHoP-RF;93.10 CRISPR;53.90
VIVO4-FEC-JUL25-F3-k141_31629,63.97,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.10,iPHoP-RF;95.10
VIVO4-FEC-JUL25-F3-k141_31963,50.51,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,98.20,iPHoP-RF;97.10 RaFAH;77.90
VIVO4-FEC-JUL25-F3-k141_31963,50.51,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,96.70,iPHoP-RF;94.70 RaFAH;77.90
VIVO4-FEC-JUL25-F3-k141_31963,50.51,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,93.80,blast;95.60 iPHoP-RF;94.70
VIVO4-FEC-JUL25-F3-k141_31963,50.51,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_F,91.40,iPHoP-RF;93.70
VIVO4-FEC-JUL25-F3-k141_32966,97.72,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.70,blast;94.80 iPHoP-RF;82.20
VIVO4-FEC-JUL25-F3-k141_33221,9.13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.60,blast;93.90 iPHoP-RF;63.50
VIVO4-FEC-JUL25-F3-k141_33814,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,100.00,RaFAH;98.80 blast;98.80 iPHoP-RF;92.10
VIVO4-FEC-JUL25-F3-k141_33814,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,98.40,RaFAH;98.80
VIVO4-FEC-JUL25-F3-k141_3399,80.44,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,97.50,iPHoP-RF;96.10 blast;95.30 RaFAH;76.40
VIVO4-FEC-JUL25-F3-k141_3399,80.44,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,92.70,blast;94.80 iPHoP-RF;78.50 CRISPR;50.80
VIVO4-FEC-JUL25-F3-k141_34679,99.90,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,93.90,iPHoP-RF;94.70 blast;93.20 RaFAH;59.90
VIVO4-FEC-JUL25-F3-k141_35829,57.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,97.50,CRISPR;98.20 iPHoP-RF;97.10 blast;93.90
VIVO4-FEC-JUL25-F3-k141_36281,14.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,91.50,blast;93.80
VIVO4-FEC-JUL25-F3-k141_37485,13.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,91.60,blast;93.90 CRISPR;91.40 iPHoP-RF;82.50
VIVO4-FEC-JUL25-F3-k141_37586,81.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,94.60,blast;96.20 iPHoP-RF;91.10 CRISPR;70.90
VIVO4-FEC-JUL25-F3-k141_38811,98.79,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,93.40,blast;95.30 iPHoP-RF;90.50
VIVO4-FEC-JUL25-F3-k141_38918,11.31,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,91.60,blast;93.90 iPHoP-RF;65.10
VIVO4-FEC-JUL25-F3-k141_39299,41.29,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,93.50,CRISPR;95.40 blast;94.20 iPHoP-RF;91.80
VIVO4-FEC-JUL25-F3-k141_39812,32.70,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,95.20,blast;96.60 iPHoP-RF;76.80
VIVO4-FEC-JUL25-F3-k141_39812,32.70,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,91.20,blast;93.60 iPHoP-RF;75.00
VIVO4-FEC-JUL25-F3-k141_40144,10.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP,93.90,iPHoP-RF;95.70 blast;94.50 CRISPR;86.20
VIVO4-FEC-JUL25-F3-k141_40144,10.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__An181,90.70,iPHoP-RF;93.10
VIVO4-FEC-JUL25-F3-k141_40144,10.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1251,90.30,iPHoP-RF;92.80
VIVO4-FEC-JUL25-F3-k141_40538,17.46,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,95.60,blast;96.90
VIVO4-FEC-JUL25-F3-k141_40731,15.90,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,93.80,blast;95.60 iPHoP-RF;80.00
VIVO4-FEC-JUL25-F3-k141_4153,78.10,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,96.70,blast;96.40 RaFAH;67.80 iPHoP-RF;63.80
VIVO4-FEC-JUL25-F3-k141_41599,33.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,92.50,blast;94.60 iPHoP-RF;73.00
VIVO4-FEC-JUL25-F3-k141_4195,17.41,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,90.90,blast;93.30 iPHoP-RF;72.40
VIVO4-FEC-JUL25-F3-k141_42969,9.23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,93.00,blast;95.00 iPHoP-RF;78.30
VIVO4-FEC-JUL25-F3-k141_43431,16.67,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,90.30,blast;92.80 iPHoP-RF;52.00
VIVO4-FEC-JUL25-F3-k141_44078,12.58,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter,91.40,CRISPR;93.70 iPHoP-RF;74.10
VIVO4-FEC-JUL25-F3-k141_44078,12.58,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,90.20,blast;92.70 CRISPR;86.70 iPHoP-RF;78.50
VIVO4-FEC-JUL25-F3-k141_44247,21.64,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP,92.20,iPHoP-RF;94.40
VIVO4-FEC-JUL25-F3-k141_44247,21.64,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__,90.30,iPHoP-RF;92.80
VIVO4-FEC-JUL25-F3-k141_44408,57.07,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.40,blast;96.80 iPHoP-RF;94.70
VIVO4-FEC-JUL25-F3-k141_44760,99.73,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.80 iPHoP-RF;96.40 blast;93.70
VIVO4-FEC-JUL25-F3-k141_45204,23.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,93.00,blast;95.00 iPHoP-RF;69.80
VIVO4-FEC-JUL25-F3-k141_45305,73.98,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,94.90,blast;95.70 iPHoP-RF;86.30 CRISPR;77.60 RaFAH;58.50
VIVO4-FEC-JUL25-F3-k141_45312,99.86,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,95.20,blast;96.60 iPHoP-RF;92.40
VIVO4-FEC-JUL25-F3-k141_46553,19.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,92.00,blast;94.20 iPHoP-RF;79.50
VIVO4-FEC-JUL25-F3-k141_46555,17.07,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,93.60,blast;95.50 CRISPR;92.70 iPHoP-RF;74.80
VIVO4-FEC-JUL25-F3-k141_4729,98.55,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,100.00,RaFAH;98.30 blast;94.60 iPHoP-RF;86.70
VIVO4-FEC-JUL25-F3-k141_47660,8.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,91.10,blast;93.50 iPHoP-RF;92.10
VIVO4-FEC-JUL25-F3-k141_48133,37.68,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,95.70,CRISPR;97.00 blast;95.70 iPHoP-RF;89.20
VIVO4-FEC-JUL25-F3-k141_48430,13.69,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,95.90,iPHoP-RF;97.10 blast;96.00
VIVO4-FEC-JUL25-F3-k141_48430,13.69,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,94.90,iPHoP-RF;96.40
VIVO4-FEC-JUL25-F3-k141_48430,13.69,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,93.50,iPHoP-RF;95.40
VIVO4-FEC-JUL25-F3-k141_48463,7.54,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,94.90,blast;96.40 iPHoP-RF;91.40 CRISPR;91.00
VIVO4-FEC-JUL25-F3-k141_48489,99.45,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,93.80,blast;95.60 iPHoP-RF;93.10
VIVO4-FEC-JUL25-F3-k141_48664,93.85,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.30,RaFAH;94.40 blast;89.90 iPHoP-RF;74.60
VIVO4-FEC-JUL25-F3-k141_48699,99.86,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.70,RaFAH;94.30 blast;93.20 iPHoP-RF;81.10
VIVO4-FEC-JUL25-F3-k141_49057,7.28,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.50,blast;93.80 iPHoP-RF;81.60
VIVO4-FEC-JUL25-F3-k141_49102,37.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,94.60,CRISPR;96.20 iPHoP-RF;91.40 blast;89.20
VIVO4-FEC-JUL25-F3-k141_49763,99.33,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,91.60,blast;93.90 iPHoP-RF;81.10
VIVO4-FEC-JUL25-F3-k141_50250,80.40,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,97.30,blast;96.70 iPHoP-RF;79.50 RaFAH;71.40
VIVO4-FEC-JUL25-F3-k141_50893,13.02,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.10,blast;93.50 iPHoP-RF;76.40 CRISPR;57.10
VIVO4-FEC-JUL25-F3-k141_51091,96.90,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.40,iPHoP-RF;97.10 RaFAH;92.00 blast;89.50
VIVO4-FEC-JUL25-F3-k141_51091,96.90,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,95.30,iPHoP-RF;96.70 blast;94.10 CRISPR;56.50
VIVO4-FEC-JUL25-F3-k141_51464,41.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,93.90,blast;95.70 CRISPR;83.50 iPHoP-RF;57.30
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,99.70,blast;97.80 iPHoP-RF;97.10 RaFAH;94.20 CRISPR;60.70
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B,99.40,iPHoP-RF;96.10 RaFAH;94.20 blast;83.80
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C,95.90,iPHoP-RF;97.10
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A,95.30,iPHoP-RF;96.70
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D,95.30,iPHoP-RF;96.70 blast;80.90
VIVO4-FEC-JUL25-F3-k141_51669,71.65,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_F,95.30,iPHoP-RF;96.70
VIVO4-FEC-JUL25-F3-k141_52187,97.79,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,97.00,blast;97.90 iPHoP-RF;94.10
VIVO4-FEC-JUL25-F3-k141_52187,97.79,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,96.90,iPHoP-RF;97.10 blast;90.90 RaFAH;61.50
VIVO4-FEC-JUL25-F3-k141_52644,48.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.40,blast;93.70 iPHoP-RF;89.80
VIVO4-FEC-JUL25-F3-k141_52644,48.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.30,iPHoP-RF;92.80 blast;90.70
VIVO4-FEC-JUL25-F3-k141_52672,45.01,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;98.20 iPHoP-RF;97.10 blast;90.80
VIVO4-FEC-JUL25-F3-k141_52672,45.01,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,98.40,CRISPR;98.80 iPHoP-RF;97.10 blast;95.60
VIVO4-FEC-JUL25-F3-k141_52917,47.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.70,blast;93.10 iPHoP-RF;93.10 CRISPR;77.20
VIVO4-FEC-JUL25-F3-k141_53833,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;97.60 iPHoP-RF;96.70 blast;93.90 CRISPR;71.30
VIVO4-FEC-JUL25-F3-k141_54256,56.66,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,95.30,iPHoP-RF;96.70
VIVO4-FEC-JUL25-F3-k141_54256,56.66,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,90.30,iPHoP-RF;92.80 blast;92.30
VIVO4-FEC-JUL25-F3-k141_54282,3.58,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus,93.50,blast;95.40 iPHoP-RF;81.90
VIVO4-FEC-JUL25-F3-k141_55387,96.31,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,92.10,RaFAH;87.00 blast;78.20
VIVO4-FEC-JUL25-F3-k141_55387,96.31,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,90.20,blast;92.70 iPHoP-RF;74.60
VIVO4-FEC-JUL25-F3-k141_55459,85.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,95.00,blast;96.50 CRISPR;96.00 iPHoP-RF;94.70
VIVO4-FEC-JUL25-F3-k141_55560,60.26,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,95.00,blast;96.50 iPHoP-RF;92.80
VIVO4-FEC-JUL25-F3-k141_55955,92.14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella,100.00,RaFAH;98.90 blast;96.10 CRISPR;92.90 iPHoP-RF;78.00
VIVO4-FEC-JUL25-F3-k141_55955,92.14,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A,91.60,blast;93.90 iPHoP-RF;53.80
VIVO4-FEC-JUL25-F3-k141_56302,32.16,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus,91.70,blast;94.00 iPHoP-RF;68.90
VIVO4-FEC-JUL25-F3-k141_56412,40.29,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,99.60,CRISPR;97.90 RaFAH;89.40
VIVO4-FEC-JUL25-F3-k141_56412,40.29,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,92.20,blast;94.40 iPHoP-RF;72.60
VIVO4-FEC-JUL25-F3-k141_56459,13.87,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella,91.10,CRISPR;93.50 blast;92.00 iPHoP-RF;88.50
VIVO4-FEC-JUL25-F3-k141_57131,94.41,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus,91.10,blast;93.50
VIVO4-FEC-JUL25-F3-k141_57689,53.79,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,93.90,blast;95.70 iPHoP-RF;74.80
